time,open,high,low,close,Volume
2019-04-22,261.20432996,262.34699164,261.11400097,262.19794881,40160140
2019-04-23,262.56829765,264.79039072,262.33344229,264.55553535,52246633
2019-04-24,264.47423927,264.80845652,263.82387056,263.96839694,50392914
2019-04-25,263.86903506,264.46520637,262.61346215,263.80580477,57770862
2019-04-26,263.85096926,265.10654217,263.07423031,265.03427898,50916423
2019-04-29,265.12460797,265.97370044,265.03427898,265.44979232,57197747
2019-04-30,265.10654217,265.87433856,263.68837709,265.5852858,81112081
2019-05-01,266.2175887,266.42534537,263.5799823,263.5890152,71671870
2019-05-02,263.47158752,264.39294318,261.52048141,263.01994259,65030170
2019-05-03,264.50133796,265.87433856,263.12815671,265.5943187,56543653
2019-05-06,261.27659315,264.94395,260.9604417,264.50133796,107198069
2019-05-07,262.08955403,262.68572534,258.16927602,260.08425053,144729908
2019-05-08,259.72293458,261.43918532,259.12676327,259.72293458,91568287
2019-05-09,257.6453679,259.54227661,255.90201846,258.9370724,103471104
2019-05-10,257.99765094,260.99657329,254.99872859,260.2378098,112429293
2019-05-13,255.10712338,256.07364353,252.85793162,253.69799119,127290527
2019-05-14,254.71870874,257.52794021,254.59224816,255.99234744,77003230
2019-05-15,254.35739279,258.13314442,254.14963612,257.49180862,73956407
2019-05-16,258.19637471,261.24046155,258.12411152,259.87649386,76749643
2019-05-17,257.56407181,260.68945474,257.54663831,258.19637471,100353024
2019-05-20,256.58851875,257.82602587,255.73942628,256.48915687,62877610
2019-05-21,258.18734181,259.18096066,257.93442065,258.80157892,46847085
2019-05-22,257.84409167,258.9641711,257.52794021,258.00668384,49482472
2019-05-23,255.77555788,255.82072237,253.43603713,254.85420222,98733847
2019-05-24,256.299466,256.71497934,254.80903772,255.43230773,55268095
2019-05-28,255.71232759,256.66981484,253.03858959,253.05665539,70029356
2019-05-29,251.93657596,252.34305639,249.94933825,251.35847044,104972927
2019-05-30,252.11723393,252.9572935,250.93844066,252.04497074,62523780
2019-05-31,249.48866042,250.3196871,248.62150215,248.64860085,86862782
2019-06-03,248.68473244,249.80670878,246.67942895,248.01629795,96427952
2019-06-04,250.3196871,253.53539901,249.86804217,253.39990553,77231889
2019-06-05,255.02582729,255.6219986,253.21021466,255.5948999,71169717
2019-06-06,255.89298556,257.93442065,255.24261686,257.25695325,69430381
2019-06-07,258.2776708,260.9152772,258.10604573,259.83132937,74272199
2019-06-10,261.38498793,262.69475823,260.93641419,261.02367199,60799053
2019-06-11,262.84831751,263.21866636,260.31052464,260.9604417,58641325
2019-06-12,260.72558633,261.28562605,259.98037219,260.49976387,47096312
2019-06-13,261.41208663,261.93599475,260.70752053,261.5746788,48945156
